ansicolors,
argparse,
basexx,
cqueues
dkjson
fifo
lgi
lpeg_patterns
lpty,
lrexlib-gnu,
lrexlib-posix,
ltermbox,
lua-cjson,
lua-cmsgpack,
lua_cliargs,
lua-iconv,
lua-term,
lua-zlib,
luacheck,
luadbi,
luaexpat,
luaffi,http://luarocks.org/dev,
luaevent,
luabitop,
luasocket,
luafilesystem,
luaposix,
luasec,
luazip,
luuid,
http,
penlight,
say,
std.normalize,
std._debug,
luv,
luasystem,
mediator_lua,http://luarocks.org/manifests/teto
mpack,http://luarocks.org/manifests/teto
nvim-client,http://luarocks.org/manifests/teto
busted,http://luarocks.org/manifests/teto
luassert,http://luarocks.org/manifests/teto
coxpcall,https://luarocks.org/manifests/hisham
lpeg,https://luarocks.org/manifests/gvvaughan
